Unidade;Disciplina;Código da disciplina;Turma;Quantidade de alunos;Dia da semana;Horário de início;Horário de término;Data de início;Data de término
ICEX;CÁLCULO DE VÁRIAS VARIÁVEIS;-;TA;65;Segunda;07:30;09:10;1/07/2016;11/07/2016
ICEX;CÁLCULO DIFERENCIAL E INTEGRAL II;-;TA2;60;Quarta;07:30;09:10;1/07/2016;11/07/2016
ICEX;CÁLCULO DIFERENCIAL E INTEGRAL II;-;TA2;60;Segunda;07:30;09:10;1/07/2016;11/07/2016
IGC;CARTOGRAFIA E TOPOGRAFIA;CRT003;A;45;Sexta;08:00;12:30;1/07/2016;11/07/2016
ECI;CATALOGAÇÃO DESCRITIVA;-;-;50;Sexta;14:00;17:40;1/07/2016;11/07/2016
ECI;CATALOGAÇÃO DESCRITIVA;-;-;55;Segunda;19:00;22:30;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;A;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;A;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;B;40;Quinta;11:50;13:20;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;B;40;Terca;11:50;13:20;1/07/2016;11/07/2016
ENG;CIÊNCIA DOS MATERIAIS;EQM057;N;50;Quinta;07:30;09:10;1/07/2016;11/07/2016
ENG;CIÊNCIA DOS MATERIAIS;EQM057;N;50;Terca;09:25;11:05;1/07/2016;11/07/2016
ENG;CIRCUITOS ELÉTRICOS PARA CONTROLE E AUTOMAÇÃO;ELE019;A;62;Terca;09:25;11:55;1/07/2016;11/07/2016
IGC;CLIMATOLOGIA;GEO608;NA;50;Segunda;19:00;22:30;1/07/2016;11/07/2016
IGC;CLIMATOLOGIA;GEO608;NB;50;Quinta;19:00;22:30;1/07/2016;11/07/2016
ECI;COMPETÊNCIA INFORMACIONAL;-;-;40;Segunda;19:00;22:30;1/07/2016;31/03/2016
ECI;COMPETÊNCIA INFORMACIONAL;-;-;55;Terca;19:00;22:30;01/04/2016;31/05/2016
FAFICH;COMUNICAÇÃO E CULTURA;-;-;63;Quinta;07:30;11:10;1/07/2016;11/07/2016
FAFICH;COMUNICAÇÃO E CULTURA;-;-;63;Segunda;13:30;17:10;1/07/2016;11/07/2016
FAFICH;COMUNICAÇÃO E CULTURA;-;NX;63;Quarta;19:00;22:30;1/07/2016;11/07/2016
FAFICH;COMUNICAÇÃO E MOVIMENTOS SOCIAIS;-;A;63;Sexta;07:30;11:10;1/07/2016;11/07/2016
EBA;CONCEITOS, MATERIAIS E PROCESSOS DO DESIGN DE MODA;-;-;30;Quinta;14:00;17:00;1/07/2016;11/07/2016
EBA;CONCEITOS, MATERIAIS E PROCESSOS DO DESIGN MODA;-;-;30;Quinta;19:00;22:30;1/07/2016;11/07/2016
FACE;CONTABILIDADE IV;-;-;90;Quarta;20:50;22:30;1/07/2016;11/07/2016
FACE;CONTABILIDADE IV;-;-;90;Segunda;19:00;20:40;1/07/2016;11/07/2016
ENG;CONTROLE DE SISTEMAS LIENARES;-;A1;30;Quinta;07:30;09:10;1/07/2016;11/07/2016
ENG;CONTROLE DE SISTEMAS LIENARES;-;A1;30;Terca;07:30;09:10;1/07/2016;11/07/2016
EBA;CRÍTICA DAS ARTES VISUAIS;-;-;30;Terca;08:30;12:00;1/07/2016;11/07/2016
