Unidade;Disciplina;Código da disciplina;Turma;Quantidade de alunos;Dia da semana;Horário de início;Horário de término;Data de início;Data de término
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Terca;20:50;22:30;1/07/2016;11/07/2016
IGC;GEOGRAFIA DE BELO HORIZONTE;GEO202;U;30;Terca;13:30;17:30;1/07/2016;11/07/2016
IGC;GEOGRAFIA DE MINAS GERAIS;GEo300;U;30;Terca;13:30;17:30;1/07/2016;11/07/2016
IGC;Geografia de Minas Gerais;GEO300;N;30;Quarta;19:00;22:30;1/07/2016;11/07/2016
IGC;GEOMORFOLOGIA FLUVIAL;GEO336;U;25;Terca;13:30;17:30;1/07/2016;11/07/2016
ECI;Gestão Arquivística de Documentos Eletrônicos;-;-;30;Quarta;19:00;22:30;1/07/2016;11/07/2016
ECI;GESTÃO DE DOCUMENTOS ARQUIVÍSTICOS;-;-;40;Segunda;19:00;22:30;1/07/2016;11/07/2016
EBA;GESTÃO DE MARCAS DE MODA E COMUNICAÇÃO INTEGRADA;-;-;60;Segunda;14:30;18:00;1/07/2016;11/07/2016
ECI;GESTÃO DE UNIDADES DE INFORMAÇÃO;TGI031;TM;45;Quarta;07:30;11:10;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Quinta;07:30;09:10;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Quinta;09:20;11:00;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Quinta;20:50;22:30;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Quinta;20:50;22:30;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Terca;07:30;09:10;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Terca;09:20;11:00;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Terca;20:50;22:30;1/07/2016;11/07/2016
FALE;GRAMÁTICA TRADICIONAL: MORFO-SÍNTAXE;-;-;50;Terca;20:50;22:30;1/07/2016;11/07/2016
FALE;GRUPO DE ESTUDOS;-;-;15;Quinta;14:00;18:00;1/07/2016;11/07/2016
FAFICH;HISTÓRIA DAS IDEIAS PSICOLÓGICAS;-;-;105;Terca;13:00;16:30;1/07/2016;11/07/2016
FAFICH;HISTÓRIA E AMBIENTE;HIS238;A;30;Quinta;20:50;22:30;1/07/2016;11/07/2016
FAFICH;HISTÓRIA E AMBIENTE;HIS238;A;30;Quinta;19:00;22:30;1/07/2016;11/07/2016
FAFICH;HISTÓRIA E AMBIENTE;HIS238;A;30;Terca;20:50;22:30;1/07/2016;11/07/2016
EBA;HISTÓRIA E TEORIA DA RESTAURAÇÃO;-;-;30;Terca;08:00;11:00;1/07/2016;11/07/2016
FACE;HISTÓRIA ECONÔMICA DO BRASIL;-;-;100;Sexta;19:00;20:40;1/07/2016;11/07/2016
FACE;HISTÓRIA ECONÔMICA DO BRASIL;-;-;100;Terca;20:50;22:30;1/07/2016;11/07/2016
FAFICH;HISTÓRIA SOCIAL DOS MEIOS;COM027;MX;63;Quarta;09:30;11:10;1/07/2016;11/07/2016
FAFICH;HISTÓRIA SOCIAL DOS MEIOS;COM027;MX;63;Segunda;09:30;11:10;1/07/2016;11/07/2016
FALE;IFA FRANCÊS;-;-;30;Quinta;11:30;13:00;1/07/2016;11/07/2016
FALE;IFA FRANCÊS;-;-;30;Terca;11:30;13:00;1/07/2016;11/07/2016
FALE;IFA I A;UNI040;A;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA I A;UNI040;A;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA I B;UNI040;B;30;Quinta;12:00;13:40;1/07/2016;11/07/2016
FALE;IFA I B;UNI040;B;30;Terca;12:00;13:40;1/07/2016;11/07/2016
FALE;IFA II A;UNI041;A;30;Quarta;12:00;13:40;1/07/2016;11/07/2016
FALE;IFA II A;UNI041;A;30;Segunda;12:00;13:40;1/07/2016;11/07/2016
FALE;IFA II B;UNI041;B;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA II B;UNI041;B;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA II C;UNI040;C;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA II C;UNI040;C;30;Terca;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA III A;UNI042;A;30;Quarta;12:00;13:40;1/07/2016;11/07/2016
FALE;IFA III A;UNI042;A;30;Segunda;12:00;13:40;1/07/2016;11/07/2016
FALE;IFA III B;UNI042;B;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA III B;UNI042;B;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;IFA IV A;UNI043;A;30;Quarta;12:00;13:40;1/07/2016;11/07/2016
FALE;IFA IV A;UNI043;A;30;Segunda;12:00;13:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 1º;-;8;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 1º;-;8;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 1º;-;10;30;Quinta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 1º;-;10;30;Terca;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 1º;-;11;30;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 1º;-;11;30;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 2º;-;10;30;Quinta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 2º;-;10;30;Terca;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 2º;-;12;30;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 2º;-;12;30;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 3º;-;6;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS BI - 3º;-;6;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS IS - 1º;-;4;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS IS - 1º;-;4;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 1º;-;4;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 1º;-;4;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 2º;-;5;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 2º;-;5;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 2º;-;8;30;Quinta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 2º;-;8;30;Terca;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 3º;-;5;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS PI - 3º;-;5;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quarta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Quinta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Segunda;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Segunda;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Sexta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Sexta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Terca;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;30;Terca;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Quarta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Quarta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Quarta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Segunda;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Segunda;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Segunda;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Segunda;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Segunda;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Segunda;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 2;40;Sexta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;30;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;30;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;30;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;30;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;30;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;30;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Quinta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Quinta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Terca;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;A2 MEO 3;40;Terca;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quinta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quinta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quinta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quinta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Quinta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Terca;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Terca;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Terca;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Terca;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B1 MEO 4;40;Terca;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quarta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quarta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quarta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quinta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quinta;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quinta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Quinta;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Segunda;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Segunda;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Segunda;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Terca;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Terca;11:50;13:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Terca;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS SEM FRONTEIRAS;-;B2 MEO 5;40;Terca;16:50;18:50;1/07/2016;11/07/2016
FALE;INGLÊS: HABILIDADES INTEGRADAS I;-;-;50;Quinta;20:50;22:30;1/07/2016;11/07/2016
FALE;INGLÊS: HABILIDADES INTEGRADAS I;-;-;50;Terca;20:50;22:30;1/07/2016;11/07/2016
FACE;INTRODUÇÃO À ADMINISTRAÇÃO;-;-;50;Quarta;13:30;17:10;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À ANÁLISE DO DISCURSO;-;-;50;Quinta;07:30;09:10;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À ANÁLISE DO DISCURSO;-;-;50;Quinta;09:20;11:00;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À ANÁLISE DO DISCURSO;-;-;50;Terca;07:30;09:10;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À ANÁLISE DO DISCURSO;-;-;50;Terca;09:20;11:00;1/07/2016;11/07/2016
ECI;INTRODUÇÃO A BANCO DE DADOS;-;-;45;Terca;07:30;11:10;1/07/2016;11/07/2016
ECI;INTRODUÇÃO À BIBLIOTECONOMIA, ARQUIVOLOGIA E MUSEOLOGIA;-;-;50;Terca;19:00;22:30;1/07/2016;11/07/2016
ECI;INTRODUÇÃO À BIBLIOTECONOMIA, ARQUIVOLOGIA E MUSEOLOGIA;-;-;57;Quinta;19:00;22:30;1/07/2016;11/07/2016
FACE;INTRODUÇÃO À DEMOGRAFIA;POP005;-;62;Sexta;07:30;11:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À ECONOMIA;ECN140;-;30;Quarta;20:50;22:30;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À ECONOMIA;ECN140;-;48;Quinta;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À ECONOMIA;ECN141;-;30;Sexta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À ECONOMIA;ECN140;-;48;Terca;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À ESTATÍSTICA;-;-;30;Quinta;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À ESTATÍSTICA;-;-;30;Terca;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA DA CIÊNCIA E EPISTEMOLOGIA;-;G;63;Quarta;13:00;14:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA DA CIÊNCIA E EPISTEMOLOGIA;-;G;63;Sexta;13:00;14:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA ESTÉTICA;-;A;63;Segunda;13:30;17:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA ÉTICA;FIL028;E;63;Quinta;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA ÉTICA;FIL028;E;63;Terca;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA: ÉTICA;FIL028;Q;63;Quinta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA: ÉTICA;FIL028;Q;63;Terca;19:00;20:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA: ÉTICA;FIL028;R;105;Quinta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA: ÉTICA;FIL028;R;105;Terca;19:00;20:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA: FILOSOFIA DA CIÊNCIA E EPISTEMOLOGIA;-;P/T;105;Quinta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À FILOSOFIA: FILOSOFIA DA CIÊNCIA E EPISTEMOLOGIA;-;P/T;105;Terca;19:00;20:40;1/07/2016;11/07/2016
IGC;INTRODUÇÃO A GEOGRAFIA;GEO196;U;50;Quinta;13:30;17:30;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À HISTÓRIA DA CULTURA;-;Z;63;Quinta;13:30;17:10;1/07/2016;11/07/2016
ECI;INTRODUÇÃO À INFORMÁTICA;DCC601;-;30;Sexta;13:00;17:00;1/07/2016;11/07/2016
ECI;INTRODUÇÃO À INFORMÁTICA;DCC601;TB1;50;Segunda;19:00;22:30;1/07/2016;11/07/2016
ECI;Introdução à informática;DCC601;-;30;Segunda;19:00;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À LITERATURA BRASILEIRA;-;-;50;Quarta;07:30;09:10;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À LITERATURA BRASILEIRA;-;-;50;Quarta;09:20;11:00;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À LITERATURA BRASILEIRA;-;-;50;Segunda;07:30;09:10;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À LITERATURA BRASILEIRA;-;-;50;Segunda;09:20;11:00;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À LITERATURA COMPARADA;-;-;50;Sexta;19:00;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À LITERATURA COMPARADA;-;-;50;Sexta;19:00;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO À LITERATURA PORTUGUESA;-;-;50;Sexta;07:30;11:00;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À PSICOLOGIA CLÍNICA;-;-;105;Segunda;07:30;11:00;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À PSICOLOGIA DA PERSONALIDADE;-;A1;105;Terca;07:30;11:00;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À TEORIA DEMOCRÁTICA;-;D/G;105;Quinta;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À TEORIA DEMOCRÁTICA;-;D/G;105;Terca;07:30;09:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À TEORIA DEMOCRÁTICA;-;R;63;Quinta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO À TEORIA DEMOCRÁTICA;-;R;63;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Quarta;07:30;09:10;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Quarta;09:20;11:00;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Quarta;19:00;20:40;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Quarta;19:00;20:40;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Quarta;20:50;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Quarta;20:50;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Segunda;07:30;09:10;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Segunda;09:20;11:00;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Segunda;19:00;20:40;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Segunda;19:00;20:40;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Segunda;20:50;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS I;-;-;50;Segunda;20:50;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS II;-;-;50;Quarta;09:20;11:00;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS II;-;-;50;Quarta;19:00;20:40;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS II;-;-;50;Quarta;20:50;22:30;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS II;-;-;50;Segunda;09:20;11:00;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS II;-;-;50;Segunda;19:00;20:40;1/07/2016;11/07/2016
FALE;INTRODUÇÃO AOS ESTUDOS LINGUÍSTICOS II;-;-;50;Segunda;20:50;22:30;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO ÀS CIÊNCIAS SOCIOAMBIENTAIS;UNI033;TSA;30;Sexta;19:00;22:30;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO ESTUDOS LINGUAGEM;-;MX;63;Sexta;07:30;11:10;1/07/2016;11/07/2016
FAFICH;INTRODUÇÃO ESTUDOS LINGUAGEM;-;NX;63;Sexta;19:00;22:30;1/07/2016;11/07/2016
FALE;ITALIANO BI - 1º;-;6;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;ITALIANO BI - 1º;-;7;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FACE;LABORATÓRIO CONTÁBIL;-;-;100;Segunda;20:50;22:30;1/07/2016;11/07/2016
EBA;LEGISLAÇÃO DE PATRIMÔNIO E PREPARAÇÃO DE PROJETOS;-;-;30;Segunda;13:30;16:00;1/07/2016;11/07/2016
ECI;LEITURA E FORMAÇÃO DO LEITOR;-;-;55;Quinta;19:00;22:30;1/07/2016;11/07/2016
